episode,coverage,return,adv,phase,loss_pi,loss_v,episode_seconds,total_seconds
0,0.13636,-1.92862,-1.94414,phase1_simple,0.135213,1.253063,19.389,19.390
1,0.66667,-1.79416,0.23571,phase1_simple,0.217594,10.349204,23.101,42.492
2,0.54545,-2.93684,-1.12804,phase1_simple,0.155285,7.859030,14.754,57.247
3,0.26667,-3.91772,-1.34585,phase1_simple,0.092302,5.517240,21.448,78.696
4,0.75000,-4.04188,0.62157,phase1_simple,-0.283528,404.304047,46.285,124.982
0,0.31818,0.30689,0.10353,phase1_simple,0.061785,22.363525,33.397,33.398
1,0.75000,-0.05999,0.12081,phase1_simple,0.171877,9.522516,41.241,74.640
2,0.54545,-1.31110,-1.09934,phase1_simple,0.119879,11.537333,24.769,99.409
3,0.80000,0.16869,1.37068,phase1_simple,0.046767,76.776054,41.329,140.740
4,0.41667,-1.41345,-1.02220,phase1_simple,-0.075296,79.735878,31.743,172.485
0,0.27273,-0.84305,-0.91897,phase1_simple,0.197710,4.673654,19.179,19.180
1,0.66667,-1.12957,-0.08248,phase1_simple,0.155128,7.600255,23.728,42.908
2,0.54545,-2.69267,-1.14229,phase1_simple,0.166311,3.342728,15.715,58.625
3,0.46667,-2.59159,-0.56199,phase1_simple,-0.047728,140.706635,22.239,80.865
4,0.66667,-3.07180,0.05385,phase1_simple,0.017007,116.859558,26.940,107.806
0,0.40909,1.36888,1.49641,phase1_simple,-0.096531,245.130020,18.524,18.524
1,0.58333,0.16380,-0.97809,phase1_simple,0.204973,4.417525,23.433,41.958
2,0.63636,-0.98126,-1.18332,phase1_simple,0.222711,4.942430,14.126,56.086
3,0.66667,-0.06914,1.08376,phase1_simple,0.047595,205.637024,23.285,79.371
4,0.58333,0.39319,-0.53451,phase1_simple,0.003150,118.228302,27.637,107.009
0,0.40909,0.00854,0.25493,phase1_simple,0.245949,0.314272,19.820,19.821
1,0.50000,-0.31482,-0.05336,phase1_simple,-0.181355,5.945433,19.313,39.137
2,0.40000,-0.23906,-0.00282,phase1_simple,-0.052062,16.893120,19.893,59.031
3,0.28571,-0.53258,-0.29190,phase1_simple,-0.232056,3.701845,19.443,78.475
