[paso 00001] tick=00001 serv=0/50 cov=0.0% energia_prom=649.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00002] tick=00002 serv=0/50 cov=0.0% energia_prom=648.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00003] tick=00003 serv=0/50 cov=0.0% energia_prom=647.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00004] tick=00004 serv=0/50 cov=0.0% energia_prom=646.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00005] tick=00005 serv=0/50 cov=0.0% energia_prom=645.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00006] tick=00006 serv=0/50 cov=0.0% energia_prom=644.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00007] tick=00007 serv=0/50 cov=0.0% energia_prom=643.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00008] tick=00008 serv=0/50 cov=0.0% energia_prom=642.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00009] tick=00009 serv=0/50 cov=0.0% energia_prom=641.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00010] tick=00010 serv=0/50 cov=0.0% energia_prom=640.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00011] tick=00011 serv=0/50 cov=0.0% energia_prom=639.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00012] tick=00012 serv=0/50 cov=0.0% energia_prom=638.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00013] tick=00013 serv=0/50 cov=0.0% energia_prom=637.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00014] tick=00014 serv=0/50 cov=0.0% energia_prom=636.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00015] tick=00015 serv=0/50 cov=0.0% energia_prom=635.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00016] tick=00016 serv=0/50 cov=0.0% energia_prom=634.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00017] tick=00017 serv=0/50 cov=0.0% energia_prom=633.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00018] tick=00018 serv=0/50 cov=0.0% energia_prom=632.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00019] tick=00019 serv=0/50 cov=0.0% energia_prom=631.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00020] tick=00020 serv=0/50 cov=0.0% energia_prom=630.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00021] tick=00021 serv=0/50 cov=0.0% energia_prom=629.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00022] tick=00022 serv=0/50 cov=0.0% energia_prom=628.0 rtb=0 viol=0 serv_uav={0: 0, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00023] tick=00023 serv=1/50 cov=2.0% energia_prom=627.2 rtb=0 viol=0 serv_uav={0: 1, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.02, 1: 0.0, 2: 0.0, 3: 0.0}
[paso 00024] tick=00024 serv=1/50 cov=2.0% energia_prom=626.2 rtb=0 viol=0 serv_uav={0: 1, 1: 0, 2: 0, 3: 0} cov_uav={0: 0.02, 1: 0.0, 2: 0.0, 3: 0.0}
