episode,coverage,return,adv,phase,loss_pi,loss_v,episode_seconds,total_seconds
0,0.00000,-6.98388,-6.93913,phase1_simple,0.270042,50.150406,16.479,16.480
1,0.00000,-7.45899,-6.75338,phase1_simple,0.287406,48.047783,16.909,33.390
2,0.00000,-7.97373,-6.62766,phase1_simple,0.317888,47.019073,17.075,50.466
0,0.00000,-0.67024,-0.67089,phase1_simple,0.675356,0.180163,16.334,16.334
1,0.00000,-1.05674,-0.58500,phase1_simple,0.244809,0.095656,17.670,34.006
2,0.00000,-1.36683,-0.51985,phase1_simple,0.048998,0.054503,17.805,51.812
0,0.08333,-0.57912,-0.64564,phase1_simple,0.155419,0.192093,22.096,22.097
1,0.05556,-0.79709,-0.50683,phase1_simple,0.083942,0.104512,21.516,43.614
2,0.21429,-1.00481,-0.41967,phase1_simple,0.134989,0.088175,18.102,61.717
0,0.16667,-0.72281,-0.46510,phase1_simple,-1.231846,38.855732,14.912,14.912
1,0.11111,-1.04980,-0.31624,phase1_simple,0.111163,0.118576,15.398,30.311
2,0.35714,-1.17625,-0.19332,phase1_simple,0.158232,0.039634,15.683,45.995
0,0.50000,-0.29594,-0.13134,phase1_simple,-0.017113,2.832698,16.270,16.270
1,0.43750,-0.37955,-0.06480,phase1_simple,-0.178429,2.311265,16.939,33.210
2,0.37500,-0.55898,-0.26855,phase1_simple,-0.121366,4.502683,15.142,48.353
3,0.71429,-0.36074,0.17485,phase1_simple,-0.128680,11.593357,15.393,63.746
4,0.21429,-0.65281,-0.24190,phase1_simple,0.075355,0.474759,14.455,78.202
5,0.75000,-0.53838,0.11860,phase1_simple,-0.045020,2.274899,13.712,91.915
6,0.80000,-0.38105,0.16671,phase1_simple,-0.018453,5.033790,13.711,105.627
7,1.00000,0.06290,0.36488,phase1_simple,-0.162068,12.988666,10.605,116.233
8,0.64286,-0.02015,0.08658,phase1_simple,-0.116092,9.429719,13.898,130.131
9,0.65000,0.31829,0.42101,phase2_intermediate,0.029937,2.791078,14.853,144.985
10,0.45455,-1.32458,-1.42212,phase2_intermediate,-0.036071,18.465702,15.595,160.582
11,0.44444,-1.26389,-1.11306,phase2_intermediate,0.012016,4.812407,14.790,175.373
12,0.58333,-2.75719,-2.31246,phase2_intermediate,0.135503,91.697922,16.743,192.116
13,0.53333,-1.69642,-0.95922,phase2_intermediate,0.082151,7.722534,28.473,220.591
14,0.54545,-1.26222,-0.22050,phase2_intermediate,-0.021206,2.007730,34.767,255.359
15,0.38889,-2.11165,-0.90098,phase2_intermediate,-0.153145,16.196053,32.177,287.537
16,0.38889,-2.35317,-0.86174,phase2_intermediate,-0.025413,2.099798,33.277,320.816
17,0.53333,-2.89883,-1.10600,phase2_intermediate,-0.205241,4.346880,15.648,336.465
18,0.69231,-2.89246,-0.82633,phase2_intermediate,-0.026029,13.264534,19.640,356.106
19,0.29167,-2.95391,-0.59395,phase2_intermediate,0.098841,59.204403,17.064,373.170
20,0.40909,-3.06202,-0.39388,phase2_intermediate,0.130257,86.136757,15.220,388.391
21,0.17391,-3.30553,-0.39734,phase2_intermediate,0.029958,21.336386,15.195,403.588
22,0.52632,-2.83727,0.27486,phase2_intermediate,-0.150812,11.722060,15.236,418.825
23,0.60000,-3.00359,-0.11972,phase2_intermediate,-0.173704,4.399043,14.468,433.293
24,0.45455,-2.75136,0.27922,phase2_intermediate,-0.158766,20.125893,15.663,448.957
25,0.38462,-3.12067,-0.25433,phase2_intermediate,-0.277362,30.068531,15.221,464.179
26,0.22581,-2.79613,0.33535,phase2_intermediate,-0.148697,11.365734,15.387,479.567
27,0.17647,-2.86012,0.05766,phase2_intermediate,0.011071,0.347693,16.595,496.163
28,0.21212,-2.50881,0.30968,phase2_intermediate,-0.045335,3.665275,15.231,511.395
29,0.28571,-2.60717,-0.05766,phase2_intermediate,0.012674,1.021190,13.811,525.208
30,0.50000,-2.71899,-0.08739,phase2_intermediate,0.098565,8.334948,14.739,539.948
31,0.40000,-2.78513,-0.05874,phase2_intermediate,-0.191306,1.303454,14.390,554.338
32,0.42857,-2.82855,-0.06686,phase2_intermediate,0.095559,24.560247,15.267,569.606
33,0.38095,-3.32329,-0.43928,phase2_intermediate,-0.146632,34.523739,15.688,585.294
34,0.19355,-3.16167,0.00067,phase2_intermediate,-0.072062,3.092483,15.724,601.019
35,0.40909,-3.01809,0.16045,phase2_intermediate,-0.204254,9.026569,15.052,616.072
36,0.20588,-2.92650,0.14075,phase2_intermediate,0.154346,1.350004,14.443,630.516
37,0.70000,-2.65609,0.22840,phase2_intermediate,-0.001300,18.802259,13.808,644.325
38,0.40000,-2.69450,0.04150,phase2_intermediate,-0.001632,1.298615,14.384,658.709
39,0.33333,-2.80081,-0.07424,phase2_intermediate,-0.154949,2.869242,13.817,672.528
40,0.50000,-3.09061,-0.41899,phase2_intermediate,-0.040107,6.911469,13.984,686.513
41,0.25000,-2.87540,0.04419,phase2_intermediate,-0.011954,0.909564,14.180,700.694
42,0.24242,-2.91672,-0.03496,phase2_intermediate,0.086086,1.028066,14.489,715.184
43,0.15385,-3.14314,-0.21045,phase2_intermediate,0.170377,3.604400,14.073,729.258
44,0.24138,-3.10346,0.01344,phase2_intermediate,-0.105977,5.474343,15.035,744.294
45,0.35714,-3.11517,0.02370,phase2_intermediate,-0.091938,0.419043,14.618,758.913
46,0.26087,-2.87941,0.23680,phase2_intermediate,-0.075886,3.015878,15.338,774.252
47,0.13158,-2.95406,0.08060,phase2_intermediate,-0.118518,3.202150,16.707,790.959
48,0.33333,-2.82446,0.14479,phase2_intermediate,0.054938,1.155491,15.301,806.261
49,0.23684,-2.69451,0.18814,phase2_intermediate,-0.032223,5.003374,14.610,820.872
50,0.21053,-2.83250,-0.16027,phase2_intermediate,-0.000263,6.197009,17.157,838.029
51,0.45455,-2.56489,0.24171,phase2_intermediate,0.126521,0.850438,17.150,855.180
52,0.28571,-2.66322,-0.06294,phase2_intermediate,-0.356315,3.833982,17.734,872.915
53,0.58333,-2.52551,0.16417,phase2_intermediate,-0.104809,7.227487,17.593,890.509
54,0.20588,-2.29968,0.23246,phase2_intermediate,0.063743,5.847431,20.893,911.403
55,0.12000,-2.29296,0.14063,phase2_intermediate,-0.037112,4.649803,20.248,931.652
56,0.25000,-2.39792,-0.08652,phase2_intermediate,-0.282040,1.996150,19.876,951.529
57,0.30769,-2.22715,0.19440,phase2_intermediate,-0.259125,6.293385,19.565,971.095
58,0.40000,-2.16513,0.08387,phase2_intermediate,0.017309,0.768142,18.191,989.287
59,0.55000,-1.97444,0.24498,phase2_intermediate,-0.189557,23.433260,17.336,1006.624
60,0.21053,-2.24548,-0.25263,phase2_intermediate,0.191336,5.728324,17.319,1023.943
61,0.15625,-2.10890,0.08183,phase2_intermediate,-0.072729,4.896920,17.824,1041.768
62,0.26667,-1.85534,0.26394,phase2_intermediate,-0.055360,12.713203,17.735,1059.505
63,0.33333,-1.92711,-0.01268,phase2_intermediate,-0.343705,17.549732,17.521,1077.026
64,0.53333,-1.52249,0.41851,phase2_intermediate,-0.044590,4.864137,17.808,1094.835
65,0.22581,-1.70252,-0.03632,phase2_intermediate,-0.020616,1.616474,19.060,1113.896
66,0.31250,-1.90292,-0.18260,phase2_intermediate,-0.055737,0.642778,18.689,1132.586
67,0.14286,-2.10887,-0.20282,phase2_intermediate,0.066938,0.202852,18.895,1151.482
68,0.14706,-2.16093,-0.04764,phase2_intermediate,-0.022380,1.022734,19.228,1170.710
69,0.18182,-2.10493,0.02592,phase2_intermediate,0.051796,1.145169,18.395,1189.106
70,0.16667,-2.12193,0.03865,phase2_intermediate,-0.195250,2.811242,18.425,1207.533
71,0.31818,-2.06410,0.13511,phase2_intermediate,-0.482662,11.251410,18.049,1225.583
72,0.31579,-2.08106,0.06764,phase2_intermediate,-0.039389,16.436598,17.920,1243.504
73,0.14815,-2.18191,-0.10373,phase2_intermediate,0.111556,0.101733,18.432,1261.937
74,0.27778,-2.20920,0.00039,phase2_intermediate,-0.015912,2.320687,19.198,1281.135
75,0.36842,-1.88097,0.37766,phase2_intermediate,0.009044,11.390004,18.899,1300.035
76,0.40909,-1.75202,0.26350,phase2_intermediate,-0.019605,4.439676,19.281,1319.317
77,0.31818,-1.76863,0.18195,phase2_intermediate,-0.148068,5.986740,19.200,1338.517
78,0.36842,-1.81008,0.04830,phase2_intermediate,0.093244,0.494765,18.543,1357.062
79,0.12500,-2.28866,-0.39934,phase2_intermediate,0.032288,0.274033,17.749,1374.812
80,0.33333,-1.99198,0.17066,phase2_intermediate,-0.050384,2.627725,17.868,1392.681
81,0.17857,-1.91323,0.08045,phase2_intermediate,0.048202,2.658026,18.099,1410.781
82,0.50000,-2.02488,-0.10855,phase2_intermediate,0.105411,0.106620,16.940,1427.722
83,0.28571,-1.90030,0.16246,phase2_intermediate,-0.100842,4.113316,18.081,1445.804
84,0.33333,-1.86096,0.06657,phase2_intermediate,0.026350,1.677478,18.780,1464.585
85,0.32000,-2.31194,-0.40903,phase2_intermediate,0.122573,2.537386,19.424,1484.010
86,0.25000,-2.21982,-0.04819,phase2_intermediate,-0.109102,2.500644,19.290,1503.301
87,0.25000,-2.47335,-0.27091,phase2_intermediate,0.033002,0.023831,32.172,1535.474
88,0.14286,-2.56055,-0.10413,phase2_intermediate,0.002420,0.386477,32.894,1568.369
89,0.13636,-2.60879,-0.05041,phase2_intermediate,0.056976,0.263548,24.938,1593.309
90,0.00000,-2.80578,-0.16534,phase2_intermediate,0.053722,0.039443,27.665,1620.975
91,0.30435,-2.46507,0.34621,phase2_intermediate,-0.018842,16.024517,38.362,1659.338
92,0.28571,-2.69510,-0.12494,phase2_intermediate,-0.051421,5.118026,38.778,1698.117
93,0.11538,-2.82142,-0.08655,phase2_intermediate,-0.210624,1.503840,40.511,1738.629
94,0.13043,-2.81771,0.01248,phase2_intermediate,-0.099642,1.481789,40.262,1778.892
95,0.09091,-2.99352,-0.12747,phase2_intermediate,0.089455,0.011508,39.316,1818.210
96,0.09524,-3.08474,-0.12064,phase2_intermediate,-0.043682,0.178743,39.200,1857.411
97,0.16667,-2.80853,0.23236,phase2_intermediate,0.055378,0.656197,39.477,1896.889
98,0.47368,-2.34814,0.51018,phase2_intermediate,0.139907,1.595164,39.183,1936.073
99,0.24242,-2.61819,-0.03412,phase2_intermediate,-0.037899,8.543740,40.335,1976.409
100,0.33333,-2.30833,0.32954,phase2_intermediate,0.071640,6.625344,40.280,2016.690
101,0.27778,-2.85948,-0.41445,phase2_intermediate,0.028760,13.510953,39.286,2055.977
102,0.27273,-2.80631,-0.10626,phase2_intermediate,-0.078424,0.772153,39.218,2095.196
103,0.04000,-2.88829,-0.11243,phase2_intermediate,0.080546,0.025895,39.656,2134.853
104,0.18421,-2.56095,0.30438,phase2_intermediate,-0.184735,7.903007,40.954,2175.808
105,0.25806,-2.70253,-0.08375,phase2_intermediate,0.087873,0.106649,40.069,2215.879
106,0.09091,-3.22115,-0.56681,phase2_intermediate,0.037648,1.065850,38.940,2254.820
107,0.26087,-2.98181,-0.04930,phase2_intermediate,-0.109199,0.921249,38.874,2293.695
108,0.71429,-2.69853,0.31181,phase2_intermediate,-0.162212,37.015713,38.708,2332.404
109,0.33333,-2.62692,0.16141,phase2_intermediate,0.015418,1.137613,38.407,2370.812
110,0.16667,-2.73011,-0.00025,phase2_intermediate,-0.105079,4.960938,38.641,2409.455
111,0.30000,-2.64862,0.08211,phase2_intermediate,0.110181,36.799629,37.252,2446.708
112,0.20000,-2.63483,0.02511,phase2_intermediate,-0.008014,0.599078,39.767,2486.476
113,0.22727,-2.98043,-0.29688,phase2_intermediate,-0.157701,2.046746,39.408,2525.884
114,0.27273,-2.69030,0.23101,phase2_intermediate,-0.005306,2.578286,39.068,2564.954
115,0.40909,-2.44455,0.29881,phase2_intermediate,0.005793,2.656063,38.978,2603.933
116,0.28571,-2.38991,0.21558,phase2_intermediate,0.098958,1.465495,38.850,2642.785
117,0.12500,-2.50643,-0.07328,phase2_intermediate,-0.070429,1.224395,39.826,2682.612
118,0.21875,-2.25251,0.30421,phase2_intermediate,0.072861,2.403811,39.242,2721.855
119,0.08333,-2.40161,-0.06268,phase2_intermediate,0.125223,0.078973,38.868,2760.724
120,0.25000,-2.68860,-0.28821,phase2_intermediate,-0.158605,6.721553,39.248,2799.973
121,0.15000,-2.58528,0.02455,phase2_intermediate,-0.227056,18.297945,24.869,2824.843
122,0.12500,-2.81462,-0.19097,phase2_intermediate,-0.014829,0.597446,33.828,2858.672
123,0.13636,-2.74775,0.04139,phase2_intermediate,0.113831,0.092430,36.174,2894.847
124,0.15625,-2.64749,0.09202,phase2_intermediate,-0.289838,4.096310,39.281,2934.129
125,0.21429,-2.57005,0.10144,phase2_intermediate,0.037573,0.466088,38.642,2972.772
126,0.04762,-2.75921,-0.09448,phase2_intermediate,0.141925,0.029305,38.968,3011.742
127,0.08824,-2.87148,-0.10225,phase2_intermediate,-0.374058,8.700810,40.084,3051.827
128,0.40000,-2.51035,0.36054,phase2_intermediate,-0.131317,5.414756,39.532,3091.360
129,0.21053,-2.55884,0.04455,phase2_intermediate,0.024273,0.385700,39.198,3130.559
130,0.66667,-2.72530,-0.08666,phase2_intermediate,-0.046057,5.024912,37.271,3167.832
131,0.20000,-2.99250,-0.30057,phase2_intermediate,-0.086701,0.036632,36.454,3204.287
132,0.04545,-3.03944,-0.11224,phase2_intermediate,0.048668,0.038291,38.353,3242.641
133,0.09524,-3.32904,-0.25026,phase2_intermediate,0.016944,0.963730,39.243,3281.885
134,0.04545,-3.51055,-0.20599,phase2_intermediate,-0.156354,0.163332,38.926,3320.813
135,0.25000,-3.39943,0.03952,phase2_intermediate,0.085246,0.022838,38.899,3359.713
136,0.15789,-3.59426,-0.19281,phase2_intermediate,-0.104297,0.439397,39.558,3399.271
137,0.09091,-3.63731,-0.10129,phase2_intermediate,-0.131345,0.145362,37.419,3436.691
138,0.05000,-3.62868,-0.02038,phase2_intermediate,-0.018469,0.124578,38.892,3475.584
