episode,coverage,return,adv,phase,loss_pi,loss_v,episode_seconds,total_seconds
0,0.88000,15.62236,-7.57779,lurigancho_fixed,0.296765,616.086670,506.136,506.137
1,0.88000,8.74683,-5.85316,lurigancho_fixed,-0.027586,12.851137,515.232,1021.399
2,0.88000,5.20269,-6.01096,lurigancho_fixed,0.490791,11146.209961,536.827,1558.264
3,0.88000,0.98202,-5.85323,lurigancho_fixed,-0.179716,220.429596,554.410,2112.726
4,0.86000,-1.38793,-5.30794,lurigancho_fixed,-0.017256,150.080399,686.519,2799.269
0,0.88000,10.25406,-5.81267,lurigancho_fixed,0.034460,100.595169,150.024,150.025
1,0.88000,4.32842,-5.47058,lurigancho_fixed,-0.114565,66.949448,179.207,329.234
2,0.88000,2.15348,-4.49500,lurigancho_fixed,0.047629,23.125540,94.708,423.946
3,0.64000,1.92608,-8.20506,lurigancho_fixed,-0.208527,308.248016,95.940,519.888
4,0.54000,-6.46472,-8.71513,lurigancho_fixed,-0.168873,110.045975,81.855,601.745
0,0.52000,-0.76188,-0.57463,lurigancho_fixed,0.143595,4.158478,128.352,128.353
1,0.56000,-1.94217,-1.48157,lurigancho_fixed,0.227467,349.017090,129.559,257.914
2,0.42000,-1.31462,-0.55954,lurigancho_fixed,0.079656,0.904526,124.113,382.030
3,0.36000,-1.69653,-0.64313,lurigancho_fixed,-0.010481,0.036254,124.047,506.079
4,0.36000,-1.82062,-0.46839,lurigancho_fixed,-0.114514,0.468749,389.182,895.263
0,0.88000,4.23146,-1.22984,lurigancho_fixed,-0.165723,8.204323,265.833,265.834
1,0.88000,3.80934,-1.37764,lurigancho_fixed,0.043549,1.563162,268.952,534.788
2,0.88000,3.01475,-1.87694,lurigancho_fixed,0.258665,56.883389,266.961,801.752
3,0.56000,2.98179,-1.60617,lurigancho_fixed,-0.009466,1.294934,270.428,1072.182
4,0.62000,2.59300,-1.69069,lurigancho_fixed,0.170216,5.902439,266.725,1338.909
5,0.78000,2.77413,-1.20750,lurigancho_fixed,-0.856251,63.260986,268.571,1607.482
6,0.84000,2.36588,-1.31684,lurigancho_fixed,-0.266249,2.609127,267.846,1875.331
7,0.88000,2.28716,-1.09543,lurigancho_fixed,0.502455,8.463116,267.817,2143.149
8,0.88000,1.46029,-1.62005,lurigancho_fixed,0.012049,1.109979,267.057,2410.209
9,0.88000,1.63299,-1.15178,lurigancho_fixed,-0.408485,12.843148,268.260,2678.471
10,0.86000,1.31704,-1.16931,lurigancho_fixed,-0.007091,0.630307,269.330,2947.803
11,0.88000,1.50495,-0.68052,lurigancho_fixed,0.144763,0.628708,268.449,3216.254
12,0.88000,1.23905,-0.64458,lurigancho_fixed,0.098422,0.442789,272.133,3488.389
13,0.84000,1.03053,-0.55274,lurigancho_fixed,0.048842,0.471320,268.135,3756.526
14,0.88000,0.92198,-0.36581,lurigancho_fixed,-0.697774,47.207672,266.662,4023.192
15,0.86000,0.62390,-0.36515,lurigancho_fixed,0.175650,0.357276,266.670,4289.864
16,0.74000,0.01621,-0.67400,lurigancho_fixed,-0.056873,0.535604,269.813,4559.679
17,0.84000,-1.37314,-1.76446,lurigancho_fixed,0.177279,20.026840,267.546,4827.227
18,0.64000,-3.71795,-3.80684,lurigancho_fixed,-0.122466,0.145625,266.941,5094.170
19,0.74000,-5.31369,-5.10118,lurigancho_fixed,-0.470566,6.501259,267.765,5361.937
20,0.12000,-1.43981,-0.92877,lurigancho_fixed,0.446509,29.322399,272.177,5634.116
21,0.80000,-1.78012,-0.96785,lurigancho_fixed,0.264216,38.213150,266.806,5900.925
22,0.60000,-2.19902,-1.08577,lurigancho_fixed,-0.222466,1.911579,268.812,6169.740
23,0.72000,-2.60149,-1.18805,lurigancho_fixed,-0.090672,0.033163,268.155,6437.897
24,0.66000,-2.14919,-0.43304,lurigancho_fixed,0.304034,17.135395,268.104,6706.004
25,0.72000,-2.31903,-0.35425,lurigancho_fixed,0.053190,0.031720,268.419,6974.425
26,0.68000,-2.35483,-0.22659,lurigancho_fixed,-0.188890,2.226364,268.543,7242.970
27,0.74000,-2.46537,-0.20713,lurigancho_fixed,0.009874,0.107484,269.213,7512.185
28,0.58000,-2.98136,-0.57228,lurigancho_fixed,-0.011129,0.006589,267.895,7780.082
29,0.62000,-2.58473,0.09509,lurigancho_fixed,0.071402,0.398400,269.208,8049.293
30,0.68000,-2.77345,-0.18175,lurigancho_fixed,0.094148,0.069632,271.219,8320.514
31,0.62000,-2.61396,0.02797,lurigancho_fixed,0.420070,5.325422,269.043,8589.560
