episode,coverage,return,adv,phase,loss_pi,loss_v,episode_seconds,total_seconds
0,0.00000,-8.47410,-6.69933,lurigancho_random,-0.744632,34.774731,19.428,19.430
1,0.00000,-8.83663,-6.59936,lurigancho_random,0.259002,45.039742,19.163,38.594
2,0.00000,-9.16807,-6.50204,lurigancho_random,-0.216760,38.618282,22.192,60.787
0,0.12000,-1.12785,0.11788,lurigancho_random,0.198942,0.370295,21.396,21.396
1,0.02000,-1.53103,-0.40906,lurigancho_random,0.113293,0.061693,20.943,42.340
2,0.08000,-1.53631,-0.05874,lurigancho_random,0.111515,0.210058,20.137,62.479
0,0.18000,-0.53485,0.36618,lurigancho_random,0.297644,0.332488,22.105,22.105
1,0.36000,-0.15140,0.67484,lurigancho_random,-0.327319,31.976166,20.461,42.568
2,0.02000,-1.04536,-0.47337,lurigancho_random,-0.328013,0.287539,20.178,62.747
0,0.44000,-0.39942,0.95133,lurigancho_random,0.084388,23.907461,19.794,19.794
1,0.42000,-0.44892,0.84139,lurigancho_random,0.247763,0.339048,20.814,40.609
2,0.40000,-0.69611,0.43219,lurigancho_random,-0.324578,5.118321,19.975,60.585
0,0.18000,-2.88463,-0.25511,lurigancho_random,0.001748,12.416008,37.955,37.956
1,0.00000,-3.06109,-0.24240,lurigancho_random,-0.003815,0.062320,40.903,78.860
2,0.00000,-3.16354,-0.15756,lurigancho_random,0.010763,0.006712,41.596,120.457
3,0.00000,-3.27873,-0.13709,lurigancho_random,0.037752,0.005616,41.890,162.347
4,0.00000,-3.38434,-0.11750,lurigancho_random,0.008152,0.035500,40.755,203.103
5,0.00000,-3.47199,-0.10136,lurigancho_random,0.033212,0.002315,41.631,244.736
6,0.00000,-3.68998,-0.21266,lurigancho_random,-0.314467,0.258992,40.954,285.691
7,0.00000,-3.75644,-0.08464,lurigancho_random,-0.061635,0.075612,42.159,327.851
8,0.00000,-3.84289,-0.10929,lurigancho_random,0.035905,0.038635,41.756,369.608
9,0.24000,-3.59058,0.24329,lurigancho_random,0.007543,2.059848,41.813,411.422
10,0.32000,-2.34797,1.25143,lurigancho_random,-0.117858,14.604988,41.736,453.159
11,0.28000,-2.92479,0.38498,lurigancho_random,-0.220967,9.224298,41.494,494.654
12,0.22000,-2.96376,0.05113,lurigancho_random,-0.048470,4.014522,41.962,536.617
13,0.16000,-2.62878,0.40333,lurigancho_random,-0.094424,8.599302,41.709,578.327
14,0.22000,-2.71265,0.08826,lurigancho_random,0.010406,18.940769,41.463,619.791
15,0.32000,-1.64770,1.10785,lurigancho_random,-0.106913,18.376490,41.213,661.006
16,0.26000,-1.96502,0.51638,lurigancho_random,0.131883,13.682336,41.174,702.181
