Step,metric,mean,std,min,max
Step 1,episode,93.9245,60.6636,0.0,199.0
Step 1,coverage,0.2557,0.1797,0.0,1.0
Step 1,return,-2.631,0.9887,-7.9737,0.3183
Step 1,adv,-0.1464,0.861,-6.9391,0.631
Step 1,loss_pi,-0.0276,0.1602,-1.2318,0.6754
Step 1,loss_v,6.3394,12.415,0.005,91.6979
Step 1,episode_seconds,27.7795,10.8545,10.605,45.539
Step 1,total_seconds,2227.815,1736.4681,14.912,5679.478
Step 2,episode,143.7885,89.7376,0.0,299.0
Step 2,coverage,0.5912,0.2611,0.0,1.0
Step 2,return,6.9054,4.1691,-9.1681,13.6712
Step 2,adv,0.1401,1.161,-6.6993,2.5857
Step 2,loss_pi,-0.0162,0.1373,-0.7446,0.3664
Step 2,loss_v,38.665,25.5512,0.0023,115.4407
Step 2,episode_seconds,40.8014,7.2962,17.61,48.317
Step 2,total_seconds,5809.2613,3786.1118,19.43,12483.847
Step 3,episode,53.0296,37.5784,0.0,119.0
Step 3,coverage,0.6037,0.1745,0.0,0.88
Step 3,return,-0.256,4.4263,-4.9496,9.9944
Step 3,adv,-0.9177,0.9926,-3.1435,0.2286
Step 3,loss_pi,-0.0165,0.1149,-0.4655,0.2012
Step 3,loss_v,44.0854,99.6546,0.0,624.3214
Step 3,episode_seconds,245.9072,36.4151,99.6,286.487
Step 3,total_seconds,13837.6021,9668.4321,118.768,30524.664
